;reer;reer_bis;pi;cpi;pce;mon_pol;mon_pol_CW;mon_pol_RBNZ
01.01.1964;;138.91;28.579;13.05391596;18.039;3.48;3.48;3.48
02.01.1964;;138.93;28.7728;13.04125864;18.074;3.48;3.48;3.48
03.01.1964;;138.9;28.7728;13.05391596;18.09;3.43;3.43;3.43
04.01.1964;;138.94;29.2436;13.05813507;18.107;3.47;3.47;3.47
05.01.1964;;143.83;29.4098;13.07079239;18.123;3.5;3.5;3.5
06.01.1964;;143.87;29.4928;13.08344971;18.136;3.5;3.5;3.5
07.01.1964;;143.9;29.6867;13.08766882;18.154;3.42;3.42;3.42
08.01.1964;;143.83;29.8805;13.10032614;18.177;3.5;3.5;3.5
09.01.1964;;143.65;29.9913;13.11298346;18.185;3.45;3.45;3.45
10.01.1964;;143.63;29.5759;13.12985988;18.192;3.36;3.36;3.36
11.01.1964;;143.54;30.4898;13.16783184;18.218;3.52;3.52;3.52
12.01.1964;;143.33;30.8498;13.18470827;18.244;3.85;3.85;3.85
01.01.1965;;143.28;31.1821;13.19736559;18.268;3.9;3.9;3.9
02.01.1965;;143.37;31.376;13.19736559;18.291;3.98;3.98;3.98
03.01.1965;;143.78;31.7913;13.21002291;18.301;4.04;4.04;4.04
04.01.1965;;143.87;31.9298;13.23955666;18.323;4.09;4.09;4.09
05.01.1965;;144.17;32.179;13.28174772;18.357;4.1;4.1;4.1
06.01.1965;;144.27;32.4283;13.33659611;18.352;4.04;4.04;4.04
07.01.1965;;144.46;32.7329;13.32393879;18.37;4.09;4.09;4.09
08.01.1965;;144.35;32.8713;13.31128147;18.405;4.12;4.12;4.12
09.01.1965;;144.25;32.9544;13.34081522;18.427;4.01;4.01;4.01
10.01.1965;;144.17;33.2868;13.35347254;18.42;4.08;4.08;4.08
11.01.1965;;144.06;33.4252;13.3956636;18.455;4.1;4.1;4.1
12.01.1965;;144.06;33.8406;13.43785467;18.511;4.32;4.32;4.32
01.01.1966;;144.06;34.1729;13.45051199;18.516;4.42;4.42;4.42
02.01.1966;;144.22;34.3945;13.53489412;18.562;4.6;4.6;4.6
03.01.1966;;144.2;34.8652;13.57708519;18.585;4.65;4.65;4.65
04.01.1966;;144.33;34.9206;13.61927625;18.651;4.67;4.67;4.67
05.01.1966;;144.3;35.2529;13.64881;18.701;4.9;4.9;4.9
06.01.1966;;144.28;35.4191;13.66146732;18.762;5.17;5.17;5.17
07.01.1966;;144.2;35.6129;13.69100107;18.817;5.3;5.3;5.3
08.01.1966;;144.2;35.6406;13.7753832;18.852;5.53;5.53;5.53
09.01.1966;;144.28;35.9729;13.81757427;18.909;5.4;5.4;5.4
10.01.1966;;144.38;36.2221;13.85976533;18.971;5.53;5.53;5.53
11.01.1966;;144.43;35.9729;13.87242265;19.019;5.76;5.76;5.76
12.01.1966;;144.47;36.056;13.88929908;19.077;5.4;5.4;5.4
01.01.1967;;144.37;36.2261;13.88086087;19.095;4.94;4.94;4.94
02.01.1967;;144.33;35.8152;13.92305193;19.129;5;5;5
03.01.1967;;144.32;35.6133;13.92305193;19.158;4.53;4.53;4.53
04.01.1967;;144.28;35.9492;13.965243;19.211;4.05;4.05;4.05
05.01.1967;;144.24;35.6356;13.965243;19.253;3.94;3.94;3.94
06.01.1967;;144.22;35.6311;14.04962513;19.302;3.98;3.98;3.98
07.01.1967;;144.21;35.55;14.0918162;19.368;3.79;3.79;3.79
08.01.1967;;144.21;36.2311;14.13400727;19.427;3.9;3.9;3.9
09.01.1967;;144.18;36.1723;14.17619833;19.496;3.99;3.99;3.99
10.01.1967;;144.42;36.4669;14.2183894;19.569;3.88;3.88;3.88
11.01.1967;;145.09;36.9884;14.30277153;19.631;4.13;4.13;4.13
12.01.1967;;146.68;37.3868;14.3449626;19.679;4.51;4.51;4.51
01.01.1968;;146.95;37.3465;14.38715366;19.766;4.6;4.6;4.6
02.01.1968;;147.03;37.4804;14.42934473;19.852;4.71;4.71;4.71
03.01.1968;;146.96;37.5974;14.4715358;19.931;5.05;5.05;5.05
04.01.1968;;146.83;37.6518;14.51372686;20.004;5.76;5.76;5.76
05.01.1968;;146.8;38.0741;14.55591793;20.08;6.11;6.11;6.11
06.01.1968;;146.84;38.214;14.64030006;20.158;6.07;6.07;6.07
07.01.1968;;146.63;38.1554;14.7246822;20.225;6.02;6.02;6.02
08.01.1968;;146.55;38.2619;14.76687326;20.304;6.03;6.03;6.03
09.01.1968;;146.5;38.4068;14.80906433;20.387;5.78;5.78;5.78
10.01.1968;;146.5;38.483;14.89344646;20.469;5.91;5.91;5.91
11.01.1968;;146.48;38.9808;14.93563753;20.546;5.82;5.82;5.82
12.01.1968;;146.5;39.1039;15.02001966;20.609;6.02;6.02;6.02
01.01.1969;;146.53;39.3405;15.06221073;20.687;6.3;6.3;6.3
02.01.1969;;146.63;39.5922;15.10440179;20.757;6.61;6.61;6.61
03.01.1969;;146.76;39.9027;15.23097499;20.854;6.79;6.79;6.79
04.01.1969;;146.77;39.7559;15.31535713;20.935;7.41;7.41;7.41
05.01.1969;;146.87;39.6056;15.35754819;21.018;8.67;8.67;8.67
06.01.1969;;146.96;39.9925;15.44193033;21.091;8.9;8.9;8.9
07.01.1969;;147.1;40.2037;15.52631246;21.189;8.61;8.61;8.61
08.01.1969;;147.5;40.2961;15.56850353;21.249;9.19;9.19;9.19
09.01.1969;;147.57;40.287;15.65288566;21.334;9.15;9.15;9.15
10.01.1969;;146.77;40.2988;15.73726779;21.425;9;9;9
11.01.1969;;146.8;39.9189;15.82164992;21.507;8.85;8.85;8.85
12.01.1969;;146.74;39.8118;15.90603206;21.587;8.97;8.97;8.97
01.01.1970;130.3794507;146.72;39.0746;15.99041419;21.659;8.98;8.98;8.98
02.01.1970;130.6455975;146.72;39.0488;16.07479632;21.742;8.98;8.98;8.98
03.01.1970;131.1633063;146.67;38.9981;16.15917846;21.823;7.76;7.76;7.76
04.01.1970;131.5884497;146.61;38.8979;16.24356059;21.909;8.1;8.1;8.1
05.01.1970;131.9770278;146.69;38.8525;16.28575165;21.986;7.94;7.94;7.94
06.01.1970;131.2897069;145.64;38.7269;16.37013379;22.066;7.6;7.6;7.6
07.01.1970;130.9991823;145.57;38.8219;16.41232485;22.149;7.21;7.21;7.21
08.01.1970;130.7224438;145.13;38.7527;16.45451592;22.226;6.61;6.61;6.61
09.01.1970;130.9156324;144.95;38.4856;16.53889805;22.319;6.29;6.29;6.29
