,wag,rt,emp,loa,car,pi,cpi,wibor_on,wibor_1m,reer,all_com_pri_ind,m3,pi_ea,pi_germany,oil
1993-01-01,342.873275302,110.574265034,5843.263104744,22813.855964899,8.356099502,35.295878784,32.989497789,19.32,34.77,65.5766962596199,52.8381215671616,11972.931056671,83.3,77.4,17.39
1993-02-01,362.520974888,106.491007492,5839.740223576,23363.358671559,8.102110673,34.508996339,34.049788946,18.32,33.77,66.9325058414696,53.7261105462293,12605.964618759,82.5,76.2,18.47
1993-03-01,364.603604906,107.621232742,5824.7009623,24128.587000899,8.254748493,34.172456979,34.832355219,15.32,30.77,67.8858094537077,54.2500521388616,13293.322630126,82.2,76.1,18.79
1993-04-01,372.093517712,111.163710959,5825.313741731,24765.8237141889,8.405316568,34.140474471,35.461797603,15.32,30.77,67.6633719441854,54.6462829713103,14041.698364509,81.7,75.5,18.67
1993-05-01,384.076794152,113.898774549,5812.321712144,25347.645261334,8.530765616,33.979274289,36.23462767,15.32,30.77,68.3518689974685,54.7652699841566,14772.045255358,81.5,75.3,18.51
1993-06-01,392.541050495,118.196664222,5794.530631954,26126.273785052,8.728186441,33.879707908,36.999564568,15.32,30.77,68.3306844727521,53.3736286105415,15572.733780316,81.1,74.9,17.65
1993-07-01,402.703309051,104.221930513,5778.107542347,26755.344740637,8.430927293,35.298415858,38.222398026,15.32,30.77,69.7076785793181,52.9638917860947,16406.34049451,80.7,73.3,16.78
1993-08-01,423.413551774,101.995728713,5764.767087153,27503.863295911,8.396801197,34.032538407,39.588228912,16.8,31.45,70.014854187706,52.533379243138,17275.133329619,81.7,76.4,16.7
1993-09-01,427.36834724,103.010134005,5753.439283775,28129.693154844,8.940309892,34.427964259,40.056564068,15.64,32.36,64.4115474002178,51.5141998166569,18225.196442737,82.2,76.1,16.01
1993-10-01,432.487901658,104.026005047,5749.412565772,28778.864489282,9.274612203,36.561861003,40.70575299,14.42,32.48,64.7716843203967,51.7819783889051,19143.186222348,82.1,76.1,16.61
1993-11-01,448.925590536,105.972448197,5739.55108516,29229.398788049,9.448124022,35.352867916,42.232080953,12.75,32.57,66.1380861646045,50.4763327522343,20201.627435534,82,75.8,15.2
