,PL.ESI
Oct-93,105.5
Nov-93,108.8
Dec-93,109.9
Jan-94,106.9
Feb-94,107.6
Mar-94,109.3
Apr-94,114.7
May-94,113.0
Jun-94,117.0
Jul-94,119.3
Aug-94,119.1
Sep-94,122.0
Oct-94,117.1
Nov-94,119.0
Dec-94,117.6
Jan-95,120.0
Feb-95,117.1
Mar-95,118.2
Apr-95,117.0
May-95,113.6
Jun-95,122.9
Jul-95,119.9
Aug-95,117.0
Sep-95,111.9
Oct-95,109.7
Nov-95,113.1
Dec-95,114.9
Jan-96,112.4
Feb-96,114.9
Mar-96,110.1
Apr-96,121.7
May-96,124.6
Jun-96,111.2
Jul-96,112.9
Aug-96,116.3
Sep-96,112.6
Oct-96,119.0
Nov-96,113.4
Dec-96,102.2
Jan-97,100.8
Feb-97,114.3
Mar-97,113.0
Apr-97,106.7
May-97,109.5
Jun-97,110.0
Jul-97,113.4
Aug-97,115.4
Sep-97,108.1
Oct-97,102.4
Nov-97,102.1
Dec-97,112.7
Jan-98,99.1
Feb-98,97.3
Mar-98,99.7
Apr-98,98.5
May-98,98.7
Jun-98,100.4
Jul-98,102.7
Aug-98,98.3
Sep-98,95.1
Oct-98,96.2
Nov-98,91.5
Dec-98,92.4
Jan-99,88.8
Feb-99,90.2
Mar-99,90.5
Apr-99,90.4
May-99,88.3
Jun-99,88.9
Jul-99,88.6
Aug-99,91.2
Sep-99,91.9
Oct-99,92.5
Nov-99,92.7
Dec-99,99.5
Jan-00,101.2
Feb-00,96.9
Mar-00,100.2
Apr-00,100.2
May-00,100.3
Jun-00,101.3
Jul-00,96.6
Aug-00,97.8
Sep-00,97.2
Oct-00,97.6
Nov-00,97.3
Dec-00,95.9
Jan-01,97.2
Feb-01,93.6
Mar-01,94.0
Apr-01,91.7
May-01,86.2
Jun-01,88.0
Jul-01,84.1
Aug-01,80.7
Sep-01,84.6
Oct-01,84.9
Nov-01,85.1
Dec-01,83.3
Jan-02,83.9
Feb-02,81.9
Mar-02,83.8
Apr-02,85.8
May-02,87.5
Jun-02,84.9
Jul-02,84.8
Aug-02,85.3
Sep-02,88.1
Oct-02,90.3
Nov-02,91.9
Dec-02,89.3
Jan-03,87.1
Feb-03,88.6
Mar-03,86.8
Apr-03,87.2
May-03,89.4
Jun-03,91.4
Jul-03,91.6
Aug-03,91.7
Sep-03,91.7
Oct-03,92.7
Nov-03,91.7
Dec-03,94.7
Jan-04,92.6
Feb-04,90.2
Mar-04,92.8
Apr-04,95.0
May-04,95.9
Jun-04,99.0
Jul-04,94.8
Aug-04,96.7
Sep-04,96.1
Oct-04,96.5
Nov-04,97.7
Dec-04,97.9
Jan-05,97.7
Feb-05,99.4
Mar-05,98.3
Apr-05,97.9
May-05,97.4
Jun-05,97.0
Jul-05,98.3
Aug-05,97.3
Sep-05,99.4
Oct-05,100.7
Nov-05,101.7
Dec-05,102.7
Jan-06,102.2
Feb-06,102.5
Mar-06,103.0
Apr-06,102.7
May-06,103.4
Jun-06,104.8
Jul-06,108.4
Aug-06,106.9
Sep-06,107.0
Oct-06,108.6
Nov-06,110.9
Dec-06,112.8
Jan-07,114.2
Feb-07,116.1
Mar-07,115.0
Apr-07,117.7
May-07,117.7
Jun-07,118.6
Jul-07,118.7
Aug-07,117.1
Sep-07,116.8
Oct-07,116.2
Nov-07,116.8
Dec-07,116.6
Jan-08,115.9
Feb-08,115.3
Mar-08,115.5
Apr-08,114.6
May-08,113.3
Jun-08,111.7
