"","x"
"1",-1.28449714795008
"2",-1.30241400498367
"3",-1.49116608949012
"4",-1.44435298564909
"5",-1.25697791886998
"6",-1.25132203966613
"7",-1.24927588841147
"8",-1.27116650104918
"9",-1.63876664127386
"10",-1.87337480935768
"11",-2.08513369107417
"12",-2.30596400252849
"13",-2.39887042571115
"14",-2.19216220004505
"15",-2.19944078624833
"16",-1.97013787071277
"17",-1.7553401315257
"18",-1.47098441295517
"19",-1.290199879885
"20",-1.1677520538992
"21",-1.02767396833278
"22",-1.19027193860319
"23",-1.06758713086918
"24",-1.02024387846033
"25",-1.16839957956453
"26",-1.29659417776853
"27",-1.37645498387155
"28",-1.67349632460343
"29",-1.41085611565779
"30",-1.11174489286833
"31",-0.694834971088119
"32",-0.720946978706934
"33",-0.554271031841494
"34",-0.492622302437029
"35",-0.666864554086248
"36",-0.789158247027985
"37",-0.920231772177118
"38",-0.806071693535032
"39",-0.77487822700315
"40",-1.14567694780895
"41",-1.02677998731095
"42",-0.68739774560376
"43",-0.280027565593212
"44",-0.440839885919452
"45",-0.582191808590447
"46",-0.437704980870152
"47",-0.656965831276675
"48",-0.668958985612491
"49",-0.875368486154598
"50",-0.73403705277442
"51",-0.537195729522823
"52",-0.518592901837063
"53",-0.439973594554543
"54",-0.249812762068079
"55",-0.495051700899845
"56",-0.333548475370513
"57",-0.201138297962942
"58",-0.152192850177661
"59",-0.332863329308484
"60",-0.618212891426446
"61",-0.735434781330787
"62",-0.627390562780597
"63",-0.728636482730236
"64",-0.802135158698699
"65",-0.78892974519671
"66",-0.766644943381701
"67",-0.221572025662081
"68",-0.68537059921967
"69",-0.691558456135881
"70",-1.09482229620863
"71",-0.781401414352601
"72",-1.01681055238548
"73",-0.926879936537694
"74",-0.838622636271828
"75",-0.757416290824419
"76",-0.641534289445003
"77",-0.599645377468145
"78",-0.397408182622864
"79",-0.597409255285404
"80",-0.689775090266007
"81",-0.462191857381753
"82",-0.563544226290254
"83",-0.484527540672035
"84",-0.189800243587147
"85",-0.20801637168778
"86",-0.364863676304893
"87",-0.68519502610195
"88",-0.691230213992521
"89",-0.665438888573873
"90",-0.699522191138642
"91",-1.20090443624228
"92",-1.49355691304767
"93",-1.54832601706577
"94",-1.42055133213228
"95",-1.29841622015777
"96",-1.21196182608716
"97",-1.08973666713157
"98",-1.14815372934966
"99",-1.21751635864678
"100",-1.38013493106319
"101",-1.17680855332283
"102",-0.766273328229693
"103",-0.564278152494037
"104",-0.32625324081371
"105",-0.190629274495158
"106",-0.44669495222643
"107",-1.08641276438763
"108",-0.90290754167527
"109",-0.733265942631959
"110",-0.7665288308839
"111",-0.836685883078889
"112",-0.851608514907196
"113",-0.830657411279201
"114",-0.871914387332751
"115",-0.236093499074422
"116",-0.192595726363154
"117",-0.0592921690018494
"118",-0.1603330422301
"119",-0.160318565699486
"120",-0.295775507750194
"121",-0.414665833454415
"122",-0.303487944612402
"123",-0.299746497886183
